Year,Auction ID,Auction Name,Auction Comment,Artwork ID,Auctioned Artworks,Additional Comment,Price ID,Price,PriceUnit,Price Comments,Auction House ID,Auction House,Location
2005,24,Unknown,N/A,32, Stamen (from the Stadia series) ,,24,0.23,Million,N/A,3,Christie's," New York, USA "
2004,25,Unknown,N/A,18, Untitled (from the City Sitings series) ,,25,0.21,Million,N/A,1, Sotheby's," London, UK"
2003,26,Unknown,N/A,18, Untitled (from the City Sitings series) ,,26,0.1,Million,N/A,2, Phillips," New York, USA "
2023,27,Unknown,N/A,19, Untitled (Pulse) ,,27,0.00672084,Million, Sold above the estimate. ,2, Phillips," London, UK"
2023,28,Unknown,N/A,20, Six Bardos: Last Breath ,,28,0.06604,Million, Sold below the estimate. ,2, Phillips," Hong Kong, China"
2023,29,Unknown,N/A,21, Entropia (construction) ,,29,0.0254,Million, Sold above the estimate. ,2, Phillips," New York, USA "
2023,30,Unknown,N/A,34, Untitled ,,30,0.0288036,Million, Sold significantly above the estimate. ,2, Phillips," London, UK"
2023,31,Unknown,N/A,22," Sapphic Strophes 4, from Sapphic Strophes ",,31,0.002413,Million, Sold above the estimate. ,2, Phillips," New York, USA "
2023,32,Unknown,N/A,35, Untitled ,,32,0.01524,Million, Sold at the low end of the estimate. ,2, Phillips," New York, USA "
2023,33,Unknown,N/A,36, Untitled ,,33,0.02286,Million, Sold significantly above the estimate. ,2, Phillips," New York, USA "
2023,34,Unknown,N/A,23, Among the Multitude III ,,34,0.00698544,Million, Sold significantly above the estimate. ,2, Phillips," London, UK"
2023,35,Unknown,N/A,24, Tsunemasa (next to Kaija) ,,35,4.386,Million, Sold within the lower range of the estimate. ,2, Phillips," New York, USA "
2023,36,Unknown,N/A,21, Entropia (construction) ,,36,0.01764,Million, Sold within the estimate range. ,2, Phillips," New York, USA "
2023,37,Unknown,N/A,37, Untitled ,,37,0.0047628,Million, Sold within the estimate range. ,2, Phillips," London, UK"
2023,38,Unknown,N/A,38, Untitled (grey area) ,,38,0.00567,Million, Sold above the estimate. ,2, Phillips," New York, USA "
2023,39,Unknown,N/A,26, Untitled (P. 76) ,,39,0.00945,Million, Sold significantly above the estimate. ,2, Phillips," New York, USA "
2023,40,Unknown,N/A,39, Untitled ,,40,0.63,Million, Sold significantly above the estimate. ,2, Phillips," New York, USA "
2023,41,Unknown,N/A,40, Untitled ,,41,£0 ,Million, Sold significantly above the estimate. ,2, Phillips," London, UK"
2023,42,Unknown,N/A,41, Untitled (Grey Area) ,,42,0.01071,Million, Sold significantly above the estimate. ,2, Phillips," New York, USA "
2023,43,Unknown,N/A,25," Sapphic Strophe 2, from Poetry of Sappho ",,43,0.005625,Million, Sold above the estimate. ,2, Phillips," New York, USA "
2023,44,Unknown,N/A,42, Untitled (Grey Area) ,,44,£0 ,Million, Sold significantly above the estimate. ,2, Phillips," London, UK"
2023,45,Unknown,N/A,43, Untitled ,,45,0.2875,Million, Sold significantly above the estimate. ,2, Phillips," New York, USA "
2023,46,Unknown,N/A,27, Untitled (Court) ,,46,0.05,Million, Sold significantly above the estimate. ,2, Phillips," New York, USA "
2005,47,Contemporary Art Evening Auction,N/A,28,Untitled (2005),,47,2.285,Million,Record price at the time for the artist,3,Christie's," New York, USA "
2013,48,Contemporary Art Evening Auction,N/A,29,Rising Down (2008),"Urban landscapes and social dynamics, referencing cityscapes, infrastructure, and movement.",48,3,Million,"Significant increase in price compared to previous Mehretu auction records, indicating rising market interest.",1, Sotheby's,"Doha, Qatar"
2016,49,Contemporary Evening Auction,N/A,6,"Mogamma, Part 1",Created in response to the Egyptian revolution of 2011.,49,5.6,Million,Solidifies Mehretu's position in the high-value contemporary art market.,3,Christie's," New York, USA "
2019,50,Contemporary Evening Auction,N/A,30,Black Ground (Deep Light) (2006),,50,5.6,Million,"Highest auction price for a Mehretu work at that time, exceeding her 2016 record.",1, Sotheby's," Hong Kong, China"
